Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct,true_macro_3d,baseline_macro_3d,theory_macro_3d,baseline_vad_error,theory_vad_error
once upon a time i am go for the market at that time one man for very hungry because some food for provide the man .,afraid,"Customer :hi
Agent :",joyful,joyful,joyful,"REASONING: The speaker describes providing food to a very hungry man, an act of kindness that would create warmth, satisfaction, and a sense of doing good. This is a positive experience with moderate engagement and a sense of personal agency, aligning with joy rather than fear, anger, or sadness.  
VAD_Estimate: [V: +0.65, A: +0.35, D: +0.30]  
EMOTION: joyful",[0.65 0.35 0.3 ],1.5031633311120918,False,False,Negative_High_Submissive,Positive_High_Dominant,Positive_High_Dominant,1.607109205996904,1.607109205996904
I am really not liking Mondays.,afraid,"Customer :Yeah, they're sometimes hard starts to the week. Did anything bad happen to you this monday, or was it just slow-moving? Hopefully things pick up for you.
Agent :",angry,angry,angry,"REASONING: The statement expresses active irritation and frustration about Mondays, with a mildly assertive complaining tone rather than helplessness or dejection. This aligns with moderate negative valence, moderate arousal, and slight control, consistent with anger.
VAD_Estimate: [V: -0.55, A: +0.40, D: +0.10]
EMOTION: angry",[-0.55  0.4   0.1 ],0.5735852159879995,False,False,Negative_High_Submissive,Negative_High_Moderate,Negative_High_Moderate,0.6923871749245504,0.6923871749245504
when my mother in law fell on ice,afraid,"Customer :My mother in law came to visit for the first time and fell so hard on ice. It was scary. 
Agent :",sad,sad,afraid,"REASONING: The sudden fall of the mother-in-law on ice is an unexpected, potentially harmful event, causing immediate concern and a sense of helplessness rather than anger or joy; the situation is negative, high-arousal, and low in control.
VAD_Estimate: [V: -0.70, A: +0.55, D: -0.45]
EMOTION: afraid",[-0.7   0.55 -0.45],0.08062257748298542,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
I would like to try skydiving.,afraid,"Customer :I would love that too
Agent :",joyful,joyful,joyful,"REASONING: The speaker expresses interest and positive anticipation toward an exciting activity, indicating pleasure, moderate-to-high arousal, and a sense of voluntary control over the choice.
VAD_Estimate: [V: +0.60, A: +0.50, D: +0.30]
EMOTION: joyful",[0.6 0.5 0.3],1.4423938435808716,False,False,Negative_High_Submissive,Positive_High_Dominant,Positive_High_Dominant,1.607109205996904,1.607109205996904
"I used to be terrified of approaching attractive women, let alone get their numbers...but I found out the easiest way to overcome that irrational fear is to level with them like a friend, instead of a prize to be won / objectified.",afraid,"Customer :Very
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly describes their past emotional state as “terrified” and an “irrational fear” when approaching attractive women, indicating high displeasure, high arousal, and vulnerable low control during that experience.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
"I finally got over my fear of heights! But before that, I had never been so scared in my life. I went sky-diving.",afraid,"Customer :I would be so scared to sky dive! How nervous were you before the jump?
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they had “never been so scared,” and the event described (sky-diving) is the moment of intense fear, despite the later relief of overcoming it. During that experience, valence is strongly negative, arousal is high, and control/vulnerability is low.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
My crush keeps hanging out with a new guy classmate a lot lately.,afraid,"Customer :Not yet. I don't want to destroy what we have if she doesn't feel the same.
Agent :",sad,sad,afraid,"REASONING: The speaker feels threatened by the possibility of losing their crush’s attention, creating negative, anxious tension with low control over the situation. This is more aligned with vulnerable insecurity/afraid than anger or sadness.
VAD_Estimate: [V: -0.55, A: +0.50, D: -0.35]
EMOTION: afraid",[-0.55  0.5  -0.35],0.15652475842498526,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
The other day I found an iguana in my backyard. I hate iguanas!,afraid,"Customer :The other day I found an iguana in my backyard.... I hate iguanas! it was horrinle
Agent :",angry,angry,angry,"REASONING: The speaker expresses strong dislike toward the iguana, with irritation and active negativity rather than fear or sadness. This reflects negative valence, moderate-to-high arousal, and assertive control → anger.
VAD_Estimate: [V: -0.65, A: +0.60, D: +0.30]
EMOTION: angry",[-0.65  0.6   0.3 ],0.7300684899377592,False,False,Negative_High_Submissive,Negative_High_Moderate,Negative_High_Moderate,0.6923871749245504,0.6923871749245504
My boyfriend cheated on me while I was away visiting family.,angry,"Customer :No, we are working on sorting things out but I am still very hurt.
Agent :",sad,sad,angry,"REASONING: The speaker experiences betrayal and hurt caused by a specific person (her boyfriend), which triggers active frustration, blame, and irritation rather than helplessness or withdrawal. This points to high displeasure, high arousal, and assertive control.

VAD_Estimate: [V: -0.65, A: +0.60, D: +0.25]
EMOTION: angry",[-0.65  0.6   0.25],0.14035668847618202,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
i went out with a couple friends to a local bar and we were having a great time. then my friend said he was going to step out and do some drugs and i knew my friend for years and i told him no just stay and party with us but he declined and i started yelling at him and he punched me. i felt like he chose the drugs over our friendship,angry,"Customer :I think you have a right to be mad over that. 
Agent :",sad,sad,angry,"REASONING: The speaker describes an interpersonal conflict caused by a specific friend, and their active yelling and sense of betrayal signal high-arousal irritation and blame rather than helpless fear or passive sadness. Valence is negative, arousal is high, and dominance reflects assertive confrontation, though slightly tempered by being punched.
VAD_Estimate: [V: -0.55, A: +0.65, D: +0.20]
EMOTION: angry",[-0.55  0.65  0.2 ],0.08774964387392127,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
Someone broke into my home right after I moved in and I felt this way after it happened.,angry,"Customer :We had someone break into our hom.
Agent :",afraid,afraid,afraid,"REASONING: A home break-in is a violation of personal safety, especially right after moving in, likely leaving the speaker feeling vulnerable, unsafe, and on edge rather than assertive or confrontational. This points to high displeasure, high arousal, and low dominance/control.
VAD_Estimate: [V: -0.70, A: +0.60, D: -0.50]
EMOTION: afraid",[-0.7  0.6 -0.5],0.7737570678190927,False,False,Negative_High_Moderate,Negative_High_Submissive,Negative_High_Submissive,0.6923871749245504,0.6923871749245504
My daughters's boy friend got drunk and started a fight with my husband. We had to call the police.,angry,"Customer :My daughter's boyfriend got drunk and attacked my husband.
Agent :",afraid,afraid,angry,"REASONING: The event is negative and caused by a specific person—the daughter’s boyfriend—who started a fight, prompting the family to take protective action by calling the police. This points to high displeasure, high arousal, and assertive frustration rather than helplessness.
VAD_Estimate: [V: -0.55, A: +0.60, D: +0.20]
EMOTION: angry",[-0.55  0.6   0.2 ],0.06480740698407862,False,True,Negative_High_Moderate,Negative_High_Submissive,Negative_High_Moderate,0.6923871749245504,0.0
I lost my car keys at a bar last night.,angry,"Customer :Yeah, it was super exciting.... and I wasn't calling my mom (she has an extra key) to come unlock my house at 3am either. so I 'slept' on back porch.
Agent :",sad,sad,angry,"REASONING: The lost keys are an annoying, frustrating inconvenience rather than a personal threat or deep loss; this creates negative valence, irritable moderately high arousal, and a problem-focused frustration rather than helplessness.
VAD_Estimate: [V: -0.55, A: +0.55, D: +0.20]
EMOTION: angry",[-0.55  0.55  0.2 ],0.07549834435270747,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
i was upset when i was told i couldnt go home on time,angry,"Customer :i was upset when i was told i couldnt go home on time
Agent :",sad,sad,angry,"REASONING: The speaker is reacting to an externally imposed restriction with frustration and irritation, not fear or passive sadness. The clear external source of the denial supports anger.
VAD_Estimate: [V: -0.55, A: +0.50, D: +0.20]
EMOTION: angry",[-0.55  0.5   0.2 ],0.1104536101718726,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
someone almost crashed into me,angry,"Customer :someone almost crashed into me today
Agent :",afraid,afraid,afraid,"REASONING: A near-collision is a sudden, life-threatening event where the speaker has little control; the immediate reaction is startled helplessness and danger-based fear rather than reflective blame or confrontation.
VAD_Estimate: [V: -0.65, A: +0.70, D: -0.45]
EMOTION: afraid",[-0.65  0.7  -0.45],0.722288031189774,False,False,Negative_High_Moderate,Negative_High_Submissive,Negative_High_Submissive,0.6923871749245504,0.6923871749245504
I am upset the baseball game got canceled.,angry,"Customer :Yes, it was to see who made the playoffs.
Agent :",sad,sad,sad,"REASONING: The cancellation of the baseball game is a negative, uncontrollable event causing disappointment and a sense of deflation. There is no specific person to blame, and the reaction is low-energy displeasure rather than active frustration, aligning with sadness.
VAD_Estimate: [V: -0.60, A: -0.20, D: -0.35]
EMOTION: sad",[-0.6  -0.2  -0.35],0.9960923651951159,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
My daughters's boy friend got drunk and started a fight with my husband. We had to call the police.,angry,"Customer :my goodness i feel terrible
Agent :",afraid,afraid,angry,"REASONING: The situation involves a specific person causing a dangerous interpersonal conflict, which triggers protective frustration and blame rather than ambiguous threat. This yields negative valence, high arousal, and moderate assertive control from wanting to hold the boyfriend accountable.
VAD_Estimate: [V: -0.65, A: +0.60, D: +0.20]
EMOTION: angry",[-0.65  0.6   0.2 ],0.1489966442575134,False,True,Negative_High_Moderate,Negative_High_Submissive,Negative_High_Moderate,0.6923871749245504,0.0
A few weeks ago my 3 year old broke my favorite eyeshadows.,angry,"Customer :Ugh so a few weeks ago my 3 year old broke my favorite eyeshadows.
Agent :",sad,sad,angry,"REASONING: The event involves a specific cause—the child breaking a valued possession—triggering frustration and irritation rather than helpless fear or passive sadness. The negative reaction is active and somewhat assertive, fitting anger.
VAD_Estimate: [V: -0.55, A: +0.55, D: +0.25]
EMOTION: angry",[-0.55  0.55  0.25],0.056568542494923775,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
I was so upset when Michael Jackson died.,angry,"Customer :It was really sad. He was a really good artist.
Agent :",sad,sad,sad,"REASONING: The death of Michael Jackson is a loss that evokes grief and sorrow. The explicit word “upset” signals negative emotion, and the context points to sadness/dejection rather than anger or fear, with low energy and low control.
VAD_Estimate: [V: -0.65, A: -0.30, D: -0.35]
EMOTION: sad",[-0.65 -0.3  -0.35],1.082450922675019,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
I was so upset when Michael Jackson died.,angry,"Customer :Yes, I saw him in concert once.
Agent :",sad,sad,sad,"REASONING: The explicit emotion word “upset” indicates distress, and the context of Michael Jackson’s death points to grief and loss rather than anger or fear. This is a negatively valenced, low-energy, vulnerable/dejected state.

VAD_Estimate: [V: -0.55, A: -0.25, D: -0.35]

EMOTION: sad",[-0.55 -0.25 -0.35],1.0330537256115966,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
My father promised to buy me a car when I graduate from university. He never did.,angry,"Customer :I was very angry and disappointed. I was dream to have a care.
Agent :",sad,sad,angry,"REASONING: The situation involves a broken promise by a specific person (the father), which triggers frustration and blame rather than helplessness or grief. This fits high displeasure, moderate-to-high arousal, and assertive control.
VAD_Estimate: [V: -0.55, A: +0.55, D: +0.25]
EMOTION: angry",[-0.55  0.55  0.25],0.056568542494923775,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
I recently discovered that my wife of 15 years is cheating on me.  She has been seeing my best friend of 20 years.  I am devastated.,angry,"Customer :Wow sounds like what i just seen on the news in NC... im so sorry !! 
Agent :",sad,sad,sad,"REASONING: The speaker explicitly states “I am devastated,” which is a clear emotion word indicating deep sorrow and loss rather than anger. The betrayal causes strongly negative valence, low-to-moderate arousal with dejection, and low dominance/vulnerability.
VAD_Estimate: [V: -0.70, A: -0.20, D: -0.35]
EMOTION: sad",[-0.7  -0.2  -0.35],1.0100495037373167,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
"A bit upset I was up all night again, not my dogs fault so much as she is just a new momma.",angry,"Customer :aweee you got puppies? i barely sleep so i feel you
Agent :",sad,sad,sad,"REASONING: Negative event (sleep loss) with no blame or threat; expressed mildly and tiredly, with low energy and low sense of control, matching dejection/resignation rather than anger or fear.  
VAD_Estimate: [V: -0.50, A: -0.20, D: -0.30]  
EMOTION: sad",[-0.5 -0.2 -0.3],0.9626525853079085,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
I lost my car keys at a bar last night.,angry,"Customer :Oh man! Are they car keys as well?
Agent :",sad,sad,angry,"REASONING: Losing car keys is a frustrating, inconvenient negative event, not a life-threatening or ambiguous peril. The tone suggests irritation and blame toward the situation rather than helplessness or sadness, so moderate negative valence with elevated arousal and some sense of assertive frustration.

VAD_Estimate: [V: -0.55, A: +0.50, D: +0.10]
EMOTION: angry",[-0.55  0.5   0.1 ],0.1794435844492636,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
why is it that bad things always happen to me!,angry,"Customer :I just wish for once I could get ahead in life!
Agent :",sad,sad,sad,"REASONING: The speaker laments repeated misfortune, expressing helplessness and resignation rather than a targeted blame or threatening fear. This yields negative valence, low arousal, and low dominance/control.
VAD_Estimate: [V: -0.65, A: -0.20, D: -0.40]
EMOTION: sad",[-0.65 -0.2  -0.4 ],1.0325696102442683,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
I didn't like when I found out my mom threw away my old Nintendo.,angry,"Customer :Did you dig it out of the trash?
Agent :",sad,sad,angry,"REASONING: The speaker is frustrated by a specific person’s action (mom throwing away the Nintendo), which triggers irritation and blame rather than helplessness or sadness. This fits high displeasure, moderate-to-high arousal, and assertive control.
VAD_Estimate: [V: -0.55, A: +0.55, D: +0.20]
EMOTION: angry",[-0.55  0.55  0.2 ],0.07549834435270747,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
my rent increased,angry,"Customer :another 95 dollars. it has went up 3 times in 6 months. 
Agent :",sad,sad,sad,"REASONING: The statement frames the rent increase as a negative, impersonal event with no clear target for blame or active frustration, and the speaker sounds passive and lacking control over the situation. This suggests low-to-moderate negative valence, subdued arousal, and low dominance, which aligns closest with sadness rather than anger or fear.
VAD_Estimate: [V: -0.55, A: -0.20, D: -0.35]
EMOTION: sad",[-0.55 -0.2  -0.35],0.9928242543370907,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
Asked a relative to care for our pet while we were gone and the dog ended up missing.,angry,"Customer :Asked a relative to care for our pet while we were gone and the dog ended up missing.
Agent :",sad,sad,angry,"REASONING: The situation involves a specific relative being responsible for the pet, so the dog going missing creates clear blame, frustration, and irritation rather than helpless fear or passive sadness. This is a negative, high-arousal state with assertive blame directed at the caretaker.
VAD_Estimate: [V: -0.65, A: +0.60, D: +0.25]
EMOTION: angry",[-0.65  0.6   0.25],0.14035668847618202,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
I caught my wife cheating on me last week. She's apparently decided she likes other women now. I really don't know what to do!,angry,"Customer :She shouldnt have done that without asking you. But maybe there is an opportunity here for you...
Agent :",sad,sad,sad,"REASONING: The situation involves betrayal and loss of trust, producing strong displeasure and a sense of helplessness and uncertainty rather than active blame or confrontation. The speaker's ""I really don't know what to do!"" signals low dominance and dejection, consistent with sadness.
VAD_Estimate: [V: -0.62, A: -0.25, D: -0.40]
EMOTION: sad",[-0.62 -0.25 -0.4 ],1.067801479676817,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
I crashed my dirtbike on a gravel road. Scratched my knee up real badly and had to go home for a ride with the police.,angry,"Customer :Very thankful that it wasn't worse.
Agent :",sad,sad,afraid,"REASONING: The situation involves a sudden crash, physical injury, and resulting vulnerability, with no clear agent to blame and a need for help from police. This creates negative valence, moderately high arousal, and low dominance/helplessness, aligning closest with fear.
VAD_Estimate: [V: -0.65, A: +0.50, D: -0.40]
EMOTION: afraid",[-0.65  0.5  -0.4 ],0.6709694478886502,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Submissive,1.044222198576529,0.6923871749245504
I wsa really upse when I found out my co-worker was fired,angry,"Customer :I was really upse when I found out my co-worker was fired
Agent :",sad,sad,sad,"REASONING: The explicit word “upset” signals negative feelings, and learning that a co-worker was fired is a loss-related, non-threatening event with no clear target to blame, pointing more to sadness than anger or fear. Arousal is moderate-low distress, and dominance is low because the speaker has no control over the situation.
VAD_Estimate: [V: -0.60, A: -0.20, D: -0.35]
EMOTION: sad",[-0.6  -0.2  -0.35],0.9960923651951159,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
Some sad individual could be calmed down by a sweet word,angry,"Customer :Sweet words like what?
Agent :",sad,sad,sad,"REASONING: The text explicitly labels the person as “sad,” indicating a state of unhappiness and low mood. The calming effect of a sweet word suggests low arousal and passive vulnerability, consistent with sadness.

VAD_Estimate: [V: -0.63, A: -0.27, D: -0.33]

EMOTION: sad",[-0.63 -0.27 -0.33],1.044222198576529,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
I found out my group of friends went to the beach last weekend and did not invite me for some reason. I don't really know why though?,angry,"Customer :I found out my group of friends went to the beach last weekend and did not invite me for some reason. I don't really know why though?
Agent :",sad,sad,sad,"REASONING: Being left out by one’s friend group is a painful social rejection with no clear explanation, leading to hurt and dejection rather than anger or fear. The tone is passive and confused, reflecting low energy and low control.
VAD_Estimate: [V: -0.60, A: -0.30, D: -0.40]
EMOTION: sad",[-0.6 -0.3 -0.4],1.1057576588023255,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
My husband gets cranky when he gets woken up and takes it out on me.,angry,"Customer :I think he should exercise more self-restraint when it comes to your relationship
Agent :",sad,sad,angry,"REASONING: The speaker describes being the target of her husband’s crankiness, which is a specific interpersonal grievance causing irritation and frustration rather than fear or passive sadness. The negative event has moderate arousal from annoyance and a slightly assertive tone because she is blaming him.

VAD_Estimate: [V: -0.55, A: +0.45, D: +0.20]
EMOTION: angry",[-0.55  0.45  0.2 ],0.1539480431834065,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
My oldest daughter had a hard time in school.  She struggled with friends that were not true friends.,angry,"Customer :I am sorry, kids can be mean
Agent :",sad,sad,sad,"REASONING: The situation is clearly unpleasant and disheartening, reflecting concern and emotional pain over a child’s social struggles and betrayal by false friends. The tone is reflective and low-energy rather than confrontational, so sadness fits better than anger.
VAD_Estimate: [V: -0.65, A: -0.25, D: -0.35]
EMOTION: sad",[-0.65 -0.25 -0.35],1.0417293314484333,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
I am upset that England lost in the World Cup.,angry,"Customer :I am upset England lost in the World Cup.
Agent :",sad,sad,sad,"REASONING: The explicit emotion word “upset” signals displeasure, and the context of England losing is a disappointment rather than a threat or anger toward a specific blameworthy person. This reflects low-to-moderate arousal and low dominance, aligning most closely with sadness.
VAD_Estimate: [V: -0.55, A: -0.15, D: -0.35]
EMOTION: sad",[-0.55 -0.15 -0.35],0.9535197952848173,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
"One of our friends got a call from the school that her 11 year old wasn't at school, and it turned out to be a mistake. Glad, but upset at the false alarm.",angry,"Customer :Yeah, it really scared us for a little bit.
Agent :",joyful,joyful,angry,"REASONING: The relief that the child is safe is outweighed by the explicit “upset” at the school’s false alarm, which signals irritation and frustration directed at a specific source. This produces negative valence, moderately high arousal, and assertive blame.
VAD_Estimate: [V: -0.40, A: +0.55, D: +0.30]
EMOTION: angry",[-0.4   0.55  0.3 ],0.12727922061357852,False,True,Negative_High_Moderate,Positive_High_Dominant,Negative_High_Moderate,1.2786711852544421,0.0
I steam cleaned my antique rugs last night but because they are so old they have ta horrible smell. I wish I would have just left them dirty.,angry,"Customer :Well I figured that out. I cleaned mine last night. They are clean but now they smell horrible!
Agent :",sad,sad,sad,"REASONING: The speaker regrets steam cleaning their antique rugs because it caused a horrible smell, leading to disappointment and self-directed frustration. This is a low-energy, resigned negative reaction to an unfortunate outcome rather than anger or fear, matching sadness.
VAD_Estimate: [V: -0.55, A: -0.25, D: -0.35]
EMOTION: sad",[-0.55 -0.25 -0.35],1.0330537256115966,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
I spilled soda on my laptop.,angry,"Customer :I spilled soda on my laptop.
Agent :",sad,sad,angry,"REASONING: Spilling soda on a laptop is a negative, frustrating accident that triggers immediate irritation and high arousal. Since the harm is to property rather than personal safety and the reaction is active annoyance, this fits anger more than fear or sadness.
VAD_Estimate: [V: -0.55, A: +0.60, D: +0.20]
EMOTION: angry",[-0.55  0.6   0.2 ],0.06480740698407862,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
"A bit upset I was up all night again, not my dogs fault so much as she is just a new momma.",angry,"Customer :Just one, abused dog and she had one 2 weeks after I got her. I was planning on getting her fixed soon- so it's good we found out ahead of time. Yes she is quite neurotic about it. So it's alot. I hear you..I don't sleep much anyway sometimes so not always the biggest deal
Agent :",sad,sad,sad,"REASONING: The speaker is mildly upset from exhaustion and a sleepless night, with no threat or blame directed at the dog; the tone is more resigned and de-energized than confrontational. This aligns with negative valence, low arousal, and low dominance/helplessness.
VAD_Estimate: [V: -0.55, A: -0.30, D: -0.40]
EMOTION: sad",[-0.55 -0.3  -0.4 ],1.1028145809699834,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
it upset me when i couldnt leave work on time,angry,"Customer :Aww, did you miss your plans?
Agent :",sad,sad,angry,"REASONING: The word “upset” signals clear negative displeasure about being unable to leave work on time, driven by irritation and frustration rather than helplessness or grief. This active annoyance suggests moderately high arousal and assertive irritation, which aligns closest with anger.
VAD_Estimate: [V: -0.55, A: +0.55, D: +0.20]
EMOTION: angry",[-0.55  0.55  0.2 ],0.07549834435270747,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
My dishwasher leaked and we had to have our whole kitchen and living redone due to the damages.,angry,"Customer :Man, that really stinks.  Did insurance pay to repair your floor and cupboards?
Agent :",sad,sad,angry,"REASONING: The situation is unpleasant and frustrating due to property damage and forced renovation, involving irritation and complaint rather than helplessness or fear. Moderate-to-high arousal and a mildly assertive sense of annoyance point toward anger.
VAD_Estimate: [V: -0.55, A: +0.55, D: +0.10]
EMOTION: angry",[-0.55  0.55  0.1 ],0.16031219541881397,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
I decided to grill a steak tonight for dinner.  I got distracted and it got burned.,angry,"Customer :That sounds really great and delicious! 
Agent :",sad,sad,angry,"REASONING: Burning the steak is a frustrating, self-caused mistake that triggers irritation and annoyance rather than sadness or fear, with moderate activation and some sense of control.
VAD_Estimate: [V: -0.45, A: +0.50, D: +0.20]
EMOTION: angry",[-0.45  0.5   0.2 ],0.11916375287812983,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
i got the wrong item,angry,"Customer :i ordered a limited editon tshirt from my favorite band and they sent the wrong size
Agent :",sad,sad,angry,"REASONING: Receiving the wrong item is an annoying, unmet expectation that typically triggers frustration and irritation, not fear or passive sadness. Valence is negative, arousal is moderately elevated, and the speaker is likely to feel assertive about the complaint.
VAD_Estimate: [V: -0.55, A: +0.50, D: +0.20]
EMOTION: angry",[-0.55  0.5   0.2 ],0.1104536101718726,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
I dropped my laptop and broke it.,angry,"Customer :Yikes, how much will it cost to replace?
Agent :",sad,sad,angry,"REASONING: The accidental damage is unpleasant and frustrating, creating irritation and moderate arousal rather than passive grief or fear. The reaction is active annoyance about the broken laptop, aligning with anger.
VAD_Estimate: [V: -0.55, A: +0.55, D: +0.15]
EMOTION: angry",[-0.55  0.55  0.15],0.11489125293076058,False,True,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Moderate,1.044222198576529,0.0
"I took this girl on a really nice date and then she said that it went well. Then, out of the blue, she dumped me and said she wasn't ready.",angry,"Customer :It really sucked since I took this girl on a date and she told me it went really well. Well apparently not since she dumped me after.
Agent :",sad,sad,sad,"REASONING: The event is an unexpected romantic rejection, causing feelings of disappointment, hurt, and loss rather than active anger or fear. This is low-energy emotional pain with a sense of powerlessness over the outcome.
VAD_Estimate: [V: -0.65, A: -0.30, D: -0.35]
EMOTION: sad",[-0.65 -0.3  -0.35],1.082450922675019,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
I was upset when my dog ran away,angry,"Customer :No i did not
Agent :",sad,sad,afraid,"REASONING: The explicit word “upset” signals clear negative feelings, but losing a dog typically involves worry, helplessness, and concern for the dog’s safety during the event, rather than anger or joy. This suggests negative valence, moderate arousal, and low dominance/control, aligning closest with fear.
VAD_Estimate: [V: -0.65, A: +0.40, D: -0.35]
EMOTION: afraid",[-0.65  0.4  -0.35],0.6447480127925947,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_High_Submissive,1.044222198576529,0.6923871749245504
"I wanted to take friday off but, I'm unable too.",angry,"Customer :Fishing
Agent :",sad,sad,sad,"REASONING: The speaker expresses disappointment and helplessness about being unable to take Friday off, with no clear target for blame or high-energy frustration. This reflects negative valence, low arousal, and low dominance, consistent with sadness.
VAD_Estimate: [V: -0.55, A: -0.25, D: -0.40]
EMOTION: sad",[-0.55 -0.25 -0.4 ],1.0628734637763801,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
I lost my favorite jacket and I can't find it. It was quite expensive and not easily replaced,angry,"Customer :I did try to retrace my steps, but I never found it. It's quite expensive, so it's not easily replaced
Agent :",sad,sad,sad,"REASONING: The loss of a valuable and irreplaceable possession is unpleasant, with a low-energy feeling of regret and helplessness rather than anger or fear. This aligns with sadness — high displeasure, low arousal, and low control.
VAD_Estimate: [V: -0.60, A: -0.25, D: -0.35]
EMOTION: sad",[-0.6  -0.25 -0.35],1.0361949623502325,False,False,Negative_High_Moderate,Negative_Moderate_Submissive,Negative_Moderate_Submissive,1.044222198576529,1.044222198576529
